Key,Type,Desc,English

PartModules/Thermal/HeatGenerated,Text,,Heat Generated
PartModules/Thermal/HeatRemoved,Text,,Heat Removed
PartModules/Thermal/Temperature,Text,,Temp.
PartModules/Thermal/EnvironmentFlux,Text,,[Debug] Environ.
PartModules/Thermal/SolarFlux,Text,,[Debug] Solar
PartModules/Thermal/ReentryFlux,Text,,[Debug] Reentry
PartModules/Thermal/ExhaustFlux,Text,,[Debug] Exhaust
PartModules/Thermal/OtherFlux,Text,,[Debug] Internal
PartModules/Thermal/CoolingEnergyToApply,Text,,[Debug] Cooling

PartModules/Thermal/Name,Text,,Thermal

Menu/VAB/thermalMass,Text,,Thermal Mass

Parts/Title/meltdown_radiator_1v_panel,Text,,RP-15 "Hot Snail"
Parts/Subtitle/meltdown_radiator_1v_panel,Text,,Small Radiator Panel
Parts/Manufacturer/meltdown_radiator_1v_panel,Text,,Meltdown Inc.
Parts/Description/meltdown_radiator_1v_panel,Text,,"RP-15 is the unassuming hero of the new space era. It may look slow, but slow and steady wins the race. So next time your satellite's overheating, remember: Hot Snail's got your back, one slow coil at a time."

Parts/Title/meltdown_radiator_2v_panel,Text,,RP-50 "Barbecue"
Parts/Subtitle/meltdown_radiator_2v_panel,Text,,Medium Radiator Panel
Parts/Manufacturer/meltdown_radiator_2v_panel,Text,,Meltdown Inc.
Parts/Description/meltdown_radiator_2v_panel,Text,,"With its winding cooling tube, RP-50 is the ultimate grill master, constantly roasting away the excess heat."

Parts/Title/meltdown_radiator_3v_panel,Text,,RP-200 "Toasty Snake"
Parts/Subtitle/meltdown_radiator_3v_panel,Text,,Big Radiator Panel
Parts/Manufacturer/meltdown_radiator_3v_panel,Text,,Meltdown Inc.
Parts/Description/meltdown_radiator_3v_panel,Text,,"The folks at Meltdown Inc. had a bit of a 'hot mess' on their hands. They tried to Frankenstein two RP-50s together, but it was way too wobbly for anyone's taste. So, they cooked up a bigger, badder radiator to keep their spacecraft frosty. Winter is truly coming this time."

Parts/Title/meltdown_radiator_0v_surface_1x,Text,,BBQ-1X "xxx"
Parts/Subtitle/meltdown_radiator_0v_surface_1x,Text,,Very Small Surface Radiator
Parts/Manufacturer/meltdown_radiator_0v_surface_1x,Text,,Meltdown Inc.
Parts/Description/meltdown_radiator_0v_surface_1x,Text,,""

Parts/Title/meltdown_radiator_0v_surface_3x,Text,,BBQ-3X "xxx"
Parts/Subtitle/meltdown_radiator_0v_surface_3x,Text,,Small Surface Radiator
Parts/Manufacturer/meltdown_radiator_0v_surface_3x,Text,,Meltdown Inc.
Parts/Description/meltdown_radiator_0v_surface_3x,Text,,""

Parts/Title/meltdown_radiator_0v_surface_10x,Text,,BBQ-10X "xxx"
Parts/Subtitle/meltdown_radiator_0v_surface_10x,Text,,Not So Small Surface Radiator
Parts/Manufacturer/meltdown_radiator_0v_surface_10x,Text,,Meltdown Inc.
Parts/Description/meltdown_radiator_0v_surface_10x,Text,,""
